Date,Close,Open,High,Low,Vol.,change
2020-10-15,"4,554.37","4,572.58","4,575.58","4,554.37",87.95M,-0.41%
2020-10-18,"4,546.95","4,554.37","4,554.87","4,546.63",117.53M,-0.16%
2020-10-19,"4,559.55","4,546.73","4,569.97","4,546.73",204.06M,0.28%
2020-10-20,"4,542.63","4,559.04","4,568.38","4,540.81",104.79M,-0.37%
2020-10-21,"4,543.70","4,542.63","4,559.01","4,538.59",104.52M,0.02%
2020-10-22,"4,556.74","4,543.85","4,559.78","4,538.45",93.03M,0.29%
2020-10-25,"4,568.08","4,556.74","4,571.42","4,548.88",152.71M,0.25%
2020-10-26,"4,624.85","4,566.81","4,628.09","4,566.81",223.21M,1.24%
2020-10-27,"4,682.82","4,624.85","4,686.96","4,624.85",218.29M,1.25%
2020-10-28,"4,660.04","4,683.29","4,714.04","4,660.03",134.13M,-0.49%
2020-11-01,"4,634.54","4,660.55","4,660.55","4,625.21",80.12M,-0.55%
2020-11-02,"4,637.78","4,636.76","4,648.81","4,628.11",81.23M,0.07%
2020-11-03,"4,649.43","4,638.62","4,671.82","4,638.56",88.61M,0.25%
2020-11-04,"4,689.79","4,649.01","4,689.84","4,649.01",84.22M,0.87%
2020-11-05,"4,718.01","4,691.06","4,718.23","4,677.49",128.95M,0.60%
2020-11-08,"4,706.16","4,717.98","4,726.89","4,695.84",78.82M,-0.25%
2020-11-09,"4,743.43","4,706.16","4,744.96","4,702.24",102.03M,0.79%
2020-11-10,"4,768.22","4,744.70","4,772.73","4,737.49",117.85M,0.52%
2020-11-11,"4,832.25","4,769.49","4,832.48","4,754.73",118.22M,1.34%
2020-11-12,"4,855.90","4,832.02","4,872.09","4,815.96",93.95M,0.49%
2020-11-15,"4,871.85","4,858.96","4,923.68","4,851.43",106.99M,0.33%
2020-11-16,"4,951.87","4,873.41","4,951.87","4,873.41",148.70M,1.64%
2020-11-17,"4,960.13","4,953.91","4,992.44","4,942.24",177.93M,0.17%
2020-11-18,"4,952.36","4,960.13","4,969.39","4,930.25",152.48M,-0.16%
2020-11-19,"4,913.71","4,954.58","4,954.70","4,913.60",144.15M,-0.78%
2020-11-22,"4,934.73","4,913.21","4,947.36","4,903.77",83.22M,0.43%
2020-11-23,"4,974.28","4,936.02","4,974.43","4,926.16",101.29M,0.80%
2020-11-24,"4,947.28","4,974.28","4,978.19","4,940.31",111.34M,-0.54%
2020-11-25,"4,989.13","4,946.86","4,989.13","4,945.03",103.19M,0.85%
2020-11-26,"4,971.93","4,989.13","4,989.36","4,953.75",101.87M,-0.34%
2020-11-29,"4,985.88","4,973.04","4,991.10","4,955.72",78.08M,0.28%
2020-11-30,"4,964.94","4,986.30","4,998.65","4,935.65",244.96M,-0.42%
2020-12-06,"5,033.38","4,965.45","5,034.20","4,965.45",128.36M,1.38%
2020-12-07,"5,042.43","5,035.93","5,042.47","5,008.92",146.25M,0.18%
2020-12-08,"5,062.39","5,044.44","5,069.68","5,036.26",125.97M,0.40%
2020-12-09,"5,077.00","5,062.39","5,090.23","5,062.19",114.43M,0.29%
2020-12-10,"5,109.19","5,077.00","5,143.27","5,073.53",100.47M,0.63%
2020-12-13,"5,140.57","5,109.19","5,150.14","5,106.80",114.55M,0.61%
2020-12-14,"5,154.09","5,140.57","5,160.71","5,137.66",171.24M,0.26%
2020-12-15,"5,132.87","5,154.09","5,156.68","5,132.01",95.79M,-0.41%
2020-12-16,"5,153.89","5,132.03","5,153.89","5,124.88",78.18M,0.41%
2020-12-17,"5,135.22","5,153.89","5,158.85","5,134.51",78.48M,-0.36%
2020-12-20,"5,113.77","5,135.73","5,160.82","5,113.56",70.16M,-0.42%
2020-12-21,"5,073.16","5,109.19","5,109.19","5,025.65",148.84M,-0.79%
2020-12-22,"5,109.61","5,073.16","5,109.71","5,065.05",103.08M,0.72%
2020-12-23,"5,142.32","5,111.83","5,153.62","5,111.83",99.71M,0.64%
2020-12-24,"5,125.93","5,142.32","5,147.27","5,096.10",81.63M,-0.32%
2020-12-27,"5,095.94","5,126.17","5,129.48","5,095.83",61.73M,-0.59%
2020-12-28,"5,106.31","5,097.11","5,128.78","5,097.11",54.18M,0.20%
2020-12-29,"5,099.04","5,106.31","5,117.29","5,076.11",82.39M,-0.14%
2020-12-30,"5,088.09","5,100.06","5,104.45","5,065.32",90.00M,-0.21%
2020-12-31,"5,045.32","5,088.60","5,093.04","5,032.34",98.83M,-0.84%
2021-01-03,"5,079.10","5,045.32","5,084.18","5,045.19",50.84M,0.67%
2021-01-04,"5,115.46","5,079.04","5,118.65","5,079.04",97.90M,0.72%
2021-01-05,"5,143.52","5,115.46","5,143.52","5,100.04",101.10M,0.55%
2021-01-06,"5,128.79","5,143.52","5,143.52","5,109.53",78.90M,-0.29%
2021-01-07,"5,163.75","5,129.28","5,163.95","5,111.93",95.42M,0.68%
2021-01-10,"5,176.11","5,163.75","5,187.73","5,163.43",155.93M,0.24%
2021-01-11,"5,237.48","5,176.11","5,242.86","5,175.07",127.71M,1.19%
2021-01-12,"5,258.17","5,239.50","5,258.17","5,228.85",102.69M,0.39%
2021-01-13,"5,290.73","5,257.19","5,302.82","5,255.60",77.93M,0.62%
2021-01-14,"5,266.72","5,290.73","5,291.06","5,266.17",86.57M,-0.45%
2021-01-17,"5,279.98","5,266.72","5,287.45","5,234.00",65.74M,0.25%
2021-01-18,"5,489.57","5,279.50","5,489.57","5,272.71",125.89M,3.97%
2021-01-19,"5,661.85","5,492.02","5,669.11","5,492.02",162.97M,3.14%
2021-01-20,"5,676.15","5,665.06","5,713.38","5,638.47",210.30M,0.25%
2021-01-21,"5,611.30","5,676.64","5,694.29","5,604.52",114.04M,-1.14%
2021-01-24,"5,613.17","5,608.86","5,628.76","5,573.15",86.91M,0.03%
2021-01-25,"5,617.85","5,613.17","5,654.04","5,607.88",94.49M,0.08%
2021-01-26,"5,582.67","5,617.85","5,622.78","5,566.41",88.41M,-0.63%
2021-01-27,"5,661.84","5,583.16","5,661.84","5,580.49",88.82M,1.42%
2021-01-28,"5,641.77","5,660.37","5,660.37","5,594.45",79.42M,-0.35%
2021-01-31,"5,593.48","5,640.56","5,640.56","5,592.71",71.92M,-0.86%
2021-02-01,"5,634.76","5,593.97","5,671.33","5,593.16",106.51M,0.74%
2021-02-02,"5,698.15","5,635.17","5,698.15","5,635.17",248.20M,1.12%
2021-02-03,"5,674.67","5,698.15","5,703.57","5,674.60",131.98M,-0.41%
2021-02-04,"5,664.10","5,674.46","5,689.70","5,659.85",89.98M,-0.19%
2021-02-07,"5,672.03","5,663.63","5,679.44","5,662.19",158.39M,0.14%
2021-02-08,"5,655.56","5,681.80","5,698.66","5,655.56",177.91M,-0.29%
2021-02-09,"5,662.57","5,655.26","5,683.64","5,654.78",164.62M,0.12%
2021-02-10,"5,666.80","5,662.08","5,669.04","5,631.91",161.57M,0.07%
2021-02-11,"5,667.03","5,665.10","5,668.67","5,642.93",165.11M,0.00%
2021-02-14,"5,666.09","5,668.01","5,671.16","5,646.50",155.57M,-0.02%
2021-02-15,"5,648.58","5,666.47","5,667.78","5,642.15",149.70M,-0.31%
2021-02-16,"5,663.86","5,648.18","5,676.19","5,645.70",176.59M,0.27%
2021-02-17,"5,636.24","5,663.45","5,663.67","5,633.36",178.10M,-0.49%
2021-02-18,"5,642.85","5,638.19","5,652.82","5,638.19",156.29M,0.12%
2021-02-21,"5,656.64","5,641.87","5,658.04","5,641.87",136.23M,0.24%
2021-02-22,"5,661.52","5,656.64","5,670.89","5,649.37",145.91M,0.09%
2021-02-23,"5,670.93","5,662.99","5,690.10","5,662.59",149.52M,0.17%
2021-02-24,"5,629.54","5,670.93","5,673.25","5,629.22",138.64M,-0.73%
2021-02-25,"5,627.99","5,631.49","5,663.24","5,626.79",316.95M,-0.03%
