Date,Close,Open,High,Low,Vol.,change
2020-12-09,"2,755.47","2,703.30","2,755.47","2,703.30",1.25B,2.02%
2020-12-10,"2,746.46","2,750.34","2,765.46","2,718.70",1.23B,-0.33%
2020-12-11,"2,770.06","2,754.16","2,781.04","2,754.16",1.22B,0.86%
2020-12-14,"2,762.20","2,769.43","2,782.79","2,755.29",1.11B,-0.28%
2020-12-15,"2,756.82","2,763.65","2,769.37","2,735.08",1.09B,-0.19%
2020-12-16,"2,771.79","2,763.64","2,781.08","2,761.50",1.17B,0.54%
2020-12-17,"2,770.43","2,769.89","2,772.71","2,742.25",1.02B,-0.05%
2020-12-18,"2,772.18","2,770.95","2,782.15","2,762.80",1.06B,0.06%
2020-12-21,"2,778.65","2,771.98","2,780.24","2,747.09",1.14B,0.23%
2020-12-22,"2,733.68","2,772.03","2,774.22","2,733.64",1.26B,-1.62%
2020-12-23,"2,759.82","2,737.74","2,769.08","2,716.28",1.12B,0.96%
2020-12-24,"2,806.86","2,762.60","2,812.16","2,762.60",1.03B,1.70%
2020-12-28,"2,808.60","2,820.95","2,834.59","2,799.56",1.01B,0.06%
2020-12-29,"2,820.51","2,810.55","2,823.44","2,792.06",1.05B,0.42%
2020-12-30,"2,873.47","2,820.36","2,878.21","2,809.35",1.07B,1.88%
2021-01-04,"2,944.45","2,874.50","2,946.54","2,869.11",1.03B,2.47%
2021-01-05,"2,990.57","2,943.67","2,990.57","2,921.84",1.52B,1.57%
2021-01-06,"2,968.21","2,993.34","3,027.16","2,961.37",1.79B,-0.75%
2021-01-07,"3,031.68","2,980.75","3,055.28","2,980.75",1.52B,2.14%
2021-01-08,"3,152.18","3,040.11","3,161.11","3,040.11",1.30B,3.97%
2021-01-11,"3,148.45","3,161.90","3,266.23","3,096.19",1.71B,-0.12%
2021-01-12,"3,125.95","3,145.87","3,154.79","3,047.56",1.39B,-0.71%
2021-01-13,"3,148.29","3,128.26","3,164.37","3,109.63",1.58B,0.71%
2021-01-14,"3,149.93","3,148.65","3,159.03","3,128.72",1.23B,0.05%
2021-01-15,"3,085.90","3,153.84","3,189.90","3,085.90",1.33B,-2.03%
2021-01-18,"3,013.93","3,079.90","3,079.90","3,003.89",1.47B,-2.33%
2021-01-19,"3,092.66","3,013.05","3,107.00","3,011.32",1.35B,2.61%
2021-01-20,"3,114.55","3,115.04","3,145.01","3,077.15",1.19B,0.71%
2021-01-21,"3,160.84","3,123.27","3,163.21","3,123.27",1.36B,1.49%
2021-01-22,"3,140.63","3,163.83","3,185.26","3,140.60",1.11B,-0.64%
2021-01-25,"3,208.99","3,144.01","3,212.22","3,142.80",1.09B,2.18%
2021-01-26,"3,140.31","3,203.96","3,209.18","3,132.67",873.02M,-2.14%
2021-01-27,"3,122.56","3,143.46","3,182.53","3,118.89",924.58M,-0.57%
2021-01-28,"3,069.05","3,114.98","3,114.98","3,046.64",1.31B,-1.71%
2021-01-29,"2,976.21","3,078.73","3,100.22","2,962.70",995.07M,-3.03%
2021-02-01,"3,056.53","2,976.81","3,056.87","2,947.24",969.26M,2.70%
2021-02-02,"3,096.81","3,065.56","3,138.95","3,065.56",887.31M,1.32%
2021-02-03,"3,129.68","3,108.42","3,142.26","3,091.85",901.79M,1.06%
2021-02-04,"3,087.55","3,135.02","3,135.02","3,068.46",1.46B,-1.35%
2021-02-05,"3,120.63","3,098.49","3,124.62","3,081.78",1.19B,1.07%
2021-02-08,"3,091.24","3,113.63","3,128.54","3,085.59",1.28B,-0.94%
2021-02-09,"3,084.67","3,102.25","3,129.66","3,084.67",2.15B,-0.21%
2021-02-10,"3,100.58","3,088.13","3,111.88","3,064.25",2.15B,0.52%
2021-02-15,"3,147.00","3,108.70","3,156.56","3,108.70",1.60B,1.50%
2021-02-16,"3,163.25","3,151.85","3,180.94","3,145.84",1.94B,0.52%
2021-02-17,"3,133.73","3,162.95","3,162.95","3,115.48",1.78B,-0.93%
2021-02-18,"3,086.66","3,131.74","3,140.40","3,086.66",1.86B,-1.50%
2021-02-19,"3,107.62","3,089.96","3,109.67","3,040.28",3.46B,0.68%
2021-02-22,"3,079.75","3,114.03","3,142.48","3,079.16",1.83B,-0.90%
2021-02-23,"3,070.09","3,069.26","3,094.29","3,035.46",2.36B,-0.31%
2021-02-24,"2,994.98","3,070.58","3,092.05","2,993.46",1.56B,-2.45%
2021-02-25,"3,099.69","3,026.47","3,099.80","3,026.47",1.25M,3.50%
